year,month,day,title,links,year_gregorian,month_gregorian,day_gregorian,event_link,event_link_english,title_english,Politics,Social,Natural Disaster,Science,Art,Sports
1362,11,5,آغاز فعالیت مرکز آموزشی ۰۷ کازرون در خرم‌آباد,"[{'text': 'مرکز آموزشی ۰۷ کازرون', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%DA%A9%D8%B2_%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C_%DB%B0%DB%B7_%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86'}]",1984,1,25,https://fa.wikipedia.org/wiki/%D9%85%D8%B1%DA%A9%D8%B2_%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C_%DB%B0%DB%B7_%DA%A9%D8%A7%D8%B2%D8%B1%D9%88%D9%86,<No English page found>,Kazeroon Training Center in Khorramabad,,,,,,
1362,11,13,عراق بعثی به شکل رسمی اعتراف کرد که شهرهای دزفول، اندیمشک، اهواز، باختران، ایلام، آبادان، شوش، رامهرمز، مسجد سلیمان، بندرامام خمینی و بهبهان را هدف حملات هوایی و موشکی قرار داده‌است,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1984,2,2,,,"Ba'athist Iraq has officially admitted that the cities of Dezful, Andimeshk, Ahvaz, Bakhtaran, Ilam, Abadan, Shush, Ramhormoz, Masjed Suleiman, Bandaram Khomeini and Behbahan have targeted aerial and missile attacks.",,,,,,
1362,12,3,آغاز عملیات خیبر,"[{'text': 'عملیات خیبر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%AE%DB%8C%D8%A8%D8%B1'}]",1984,2,22,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%AE%DB%8C%D8%A8%D8%B1,https://en.wikipedia.org/wiki/Operation_Kheibar,Operation Kheibar,,,,,,
1362,12,22,پایان عملیات خیبر در جریان جنگ ایران و عراق.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'جنگ ایران و عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'عملیات خیبر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%AE%DB%8C%D8%A8%D8%B1'}]",1984,3,12,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,<No English name found>,1.0,,,,,
1362,5,0,۷ امرداد - آغاز عملیات والفجر ۳ در جریان جنگ ایران و عراق به مدت ۱۴ روز.,"[{'text': 'جنگ ایران و عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'عملیات والفجر ۳', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%88%D8%A7%D9%84%D9%81%D8%AC%D8%B1_%DB%B3'}]",1983,7,23,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,<No English name found>,1.0,,,,,
1362,12,3,آغاز عملیات خیبر در جریان جنگ ایران و عراق به مدت ۲۰ روز.,"[{'text': 'جنگ ایران و عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'عملیات خیبر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%AE%DB%8C%D8%A8%D8%B1'}]",1984,2,22,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,<No English name found>,1.0,,,,,
1362,8,4,حملهٔ موشکی ارتش عراق به مدرسهٔ شهید پیروز بهبهان که به کشته و زخمی شدن ده‌ها دانش‌آموز ایرانی انجامید.,[],1983,10,26,,,The Iraqi army's missile attack on the martyr Pirouz Behbahan school killed and wounded dozens of Iranian students.,,,,,,
1363,1,26,برگزاری انتخابات دوره دوم مجلس شورای اسلامی,"[{'text': 'دوره دوم مجلس شورای اسلامی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D9%87_%D8%AF%D9%88%D9%85_%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C'}]",1984,4,15,https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D9%87_%D8%AF%D9%88%D9%85_%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C,<No English page found>,Holding the second term of the Islamic Consultative Assembly,1.0,,,,,
1363,3,11,صدور قطعنامه ۵۵۲ شورای امنیت به دنبال شکایت کشورهای عضو کشورهای عضو شورای همکاری خلیج فارس علیه جمهوری اسلامی ایران مبنی بر حمله به کشتی‌هایشان,"[{'text': 'خلیج فارس', 'url': 'https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D8%AC_%D9%81%D8%A7%D8%B1%D8%B3'}]",1984,6,1,https://fa.wikipedia.org/wiki/%D8%AE%D9%84%DB%8C%D8%AC_%D9%81%D8%A7%D8%B1%D8%B3,https://en.wikipedia.org/wiki/Persian_Gulf,Persian Gulf,,,,,,1.0
1363,5,18,رقابت ۱۸ مرداد تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در جام ملت‌های آسیا ۱۹۸۴,"[{'text': 'مرداد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AF%D8%A7%D8%AF'}, {'text': '۸ مرداد', 'url': 'https://fa.wikipedia.org/wiki/%DB%B8_%D9%85%D8%B1%D8%AF%D8%A7%D8%AF'}]",1984,8,9,https://fa.wikipedia.org/wiki/%DB%B8_%D9%85%D8%B1%D8%AF%D8%A7%D8%AF,<No English page found>,Iran's national football team with the Syrian national football team in the Asian Cup,,,,,,1.0
1363,5,27,رقابت ۲۷ مرداد تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در جام ملت‌های آسیا ۱۹۸۴,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'مرداد', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%B1%D8%AF%D8%A7%D8%AF'}, {'text': '۷ مرداد', 'url': 'https://fa.wikipedia.org/wiki/%DB%B7_%D9%85%D8%B1%D8%AF%D8%A7%D8%AF'}]",1984,8,18,https://fa.wikipedia.org/wiki/%DB%B7_%D9%85%D8%B1%D8%AF%D8%A7%D8%AF,<No English page found>,Iran's national football team competition with the Syrian national football team in the Asian Cup,,,,,,1.0
1363,7,25,آغاز نگارش جن‌نامه توسط هوشنگ گلشیری,"[{'text': 'جن\u200cنامه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%E2%80%8C%D9%86%D8%A7%D9%85%D9%87'}]",1984,10,17,,,Houshang Golshiri began writing,,,,,,
1363,9,19,بنیان‌گذاری شورای عالی انقلاب فرهنگی,"[{'text': 'شورای عالی انقلاب فرهنگی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%B9%D8%A7%D9%84%DB%8C_%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C'}]",1984,12,10,https://fa.wikipedia.org/wiki/%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%B9%D8%A7%D9%84%DB%8C_%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D9%81%D8%B1%D9%87%D9%86%DA%AF%DB%8C,https://en.wikipedia.org/wiki/Supreme_Council_of_the_Cultural_Revolution,Supreme Council of the Cultural Revolution,1.0,,,,,
1363,11,4,نخستین بزرگ‌ترین پیروزی تیم ملی فوتبال ایران در مقابل تیم ملی فوتبال چین,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'روز', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%B2'}]",1985,1,24,,,The first biggest victory of the Iranian national football team against the Chinese national football team,,,,,,1.0
1363,12,7,بنیان‌گذاری سازمان انتشارات سمت.,[],1985,2,26,,,Founding the Post Publishing Organization.,,,,,,
1363,12,16,بمباران پادگان ابوذر توسط هواگردهای جنگنده نیروی هوایی عراق,"[{'text': 'پادگان ابوذر', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%AF%DA%AF%D8%A7%D9%86_%D8%A7%D8%A8%D9%88%D8%B0%D8%B1'}]",1985,3,7,https://fa.wikipedia.org/wiki/%D9%BE%D8%A7%D8%AF%DA%AF%D8%A7%D9%86_%D8%A7%D8%A8%D9%88%D8%B0%D8%B1,<No English page found>,Bombing Abu Dharr garrison by Iraqi Air Force fighter jets,,,,,,
1363,12,17,بمباران هوایی پیرانشهر در جریان جنگ ایران و عراق و مرگ ۹۰ تن از اهالی شهر,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'جنگ ایران و عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'پیرانشهر', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%DB%8C%D8%B1%D8%A7%D9%86%D8%B4%D9%87%D8%B1'}]",1985,3,8,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,<No English name found>,1.0,,,,,
1363,12,19,آغاز عملیات بدر,"[{'text': 'عملیات بدر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1'}]",1985,3,10,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1,https://en.wikipedia.org/wiki/Operation_Badr_(1985),Operation Badr (1985),,,,,,
1363,12,21,پرتاب اولین موشک بالستیک ایران از کرمانشاه به سوی پالایشگاه کرکوک در عراق,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'موشک بالستیک', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%88%D8%B4%DA%A9_%D8%A8%D8%A7%D9%84%D8%B3%D8%AA%DB%8C%DA%A9'}, {'text': 'کرمانشاه', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%D9%85%D8%A7%D9%86%D8%B4%D8%A7%D9%87'}, {'text': 'کرکوک', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D8%B1%DA%A9%D9%88%DA%A9'}]",1985,3,12,https://fa.wikipedia.org/wiki/%D9%85%D9%88%D8%B4%DA%A9_%D8%A8%D8%A7%D9%84%D8%B3%D8%AA%DB%8C%DA%A9,https://en.wikipedia.org/wiki/Ballistic_missile,Ballistic missile,,,,,,
1363,12,24,بمب‌گذاری نمازجمعه تهران,"[{'text': 'جمعه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%85%D8%B9%D9%87'}]",1985,3,15,,,Tehran Prayer Bombings,,,,,,
1363,12,29,پایان عملیات بدر,"[{'text': 'عملیات بدر', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1'}]",1985,3,20,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A8%D8%AF%D8%B1,https://en.wikipedia.org/wiki/Operation_Badr_(1985),Operation Badr (1985),,,,,,
1364,3,17,عملیات ظفر ۱,"[{'text': 'عملیات ظفر ۱', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1'}]",1985,6,7,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1,<No English page found>,Operation Zafar 1,,,,,,
1364,4,4,عملیات قدس ۲,"[{'text': 'عملیات قدس ۲', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%82%D8%AF%D8%B3_%DB%B2'}]",1985,6,25,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%82%D8%AF%D8%B3_%DB%B2,https://en.wikipedia.org/wiki/Operation_Quds-2,Operation Quds-2,,,,,,
1364,4,5,آغاز عملیات ظفر ۲ در پنجوین با تلاش ارتش جمهوری اسلامی ایران,"[{'text': 'ارتش جمهوری اسلامی ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%B4_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'پنجوین', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D9%86%D8%AC%D9%88%DB%8C%D9%86'}]",1985,6,26,https://fa.wikipedia.org/wiki/%D8%A7%D8%B1%D8%AA%D8%B4_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,https://en.wikipedia.org/wiki/Islamic_Republic_of_Iran_Army,Islamic Republic of Iran Army,,,,,,
1364,5,23,عملیات کوچک عاشورای ۱ در منطقه تکاب در شمال کردستان توسط سپاه پاسداران,[],1985,8,14,,,Small Ashura Operation in Takab area in northern Kurdistan by the Revolutionary Guards,,,,,,
1364,6,8,پریناز ایزدیار، بازیگر,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'پریناز ایزدیار', 'url': 'https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%DB%8C%D9%86%D8%A7%D8%B2_%D8%A7%DB%8C%D8%B2%D8%AF%DB%8C%D8%A7%D8%B1'}]",1985,8,30,https://fa.wikipedia.org/wiki/%D9%BE%D8%B1%DB%8C%D9%86%D8%A7%D8%B2_%D8%A7%DB%8C%D8%B2%D8%AF%DB%8C%D8%A7%D8%B1,https://en.wikipedia.org/wiki/Parinaz_Izadyar,Parinaz Izadyar,,,,,,
1364,6,8,احسان لشگری، کشتی‌گیر,"[{'text': 'احسان لشگری', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%B3%D8%A7%D9%86_%D9%84%D8%B4%DA%AF%D8%B1%DB%8C'}]",1985,8,30,https://fa.wikipedia.org/wiki/%D8%A7%D8%AD%D8%B3%D8%A7%D9%86_%D9%84%D8%B4%DA%AF%D8%B1%DB%8C,https://en.wikipedia.org/wiki/Ehsan_Lashgari,Ehsan Lashgari,,,,,,1.0
1364,6,12,سید روح الله خمینی برای بار دوم حکم ریاست جمهوری سید علی خامنه ای را تنفیذ کرد,[],1985,9,3,,,Sayyid Ruhollah Khomeini has appointed Sayyid Ali Khamenei's presidency for the second time,1.0,,,,,
1364,6,26,تشکیل نیروهای سه‌گانه در سپاه پاسداران به فرمان سید روح‌الله خمینی,"[{'text': 'سید روح\u200cالله خمینی', 'url': 'https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D9%85%DB%8C%D9%86%DB%8C'}]",1985,9,17,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%AF_%D8%B1%D9%88%D8%AD%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%AE%D9%85%DB%8C%D9%86%DB%8C,https://en.wikipedia.org/wiki/Ruhollah_Khomeini,Ruhollah Khomeini,,,,,,
1364,7,30,آغاز عملیات عاشورا ۴، در غرب دریاچه ام‌النعاج در هورالهویزه,"[{'text': 'دریاچه', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%D8%B1%DB%8C%D8%A7%DA%86%D9%87'}, {'text': 'عاشورا', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D8%A7%D8%B4%D9%88%D8%B1%D8%A7'}, {'text': 'غرب', 'url': 'https://fa.wikipedia.org/wiki/%D8%BA%D8%B1%D8%A8'}, {'text': 'هورالهویزه', 'url': 'https://fa.wikipedia.org/wiki/%D9%87%D9%88%D8%B1%D8%A7%D9%84%D8%B9%D8%B8%DB%8C%D9%85'}]",1985,10,22,,,"The beginning of Operation Ashura 2, west of Lake Umm al -Naji in Horavaleh",,,,,,
1364,9,15,انتشار اولین شماره ماهنامه آدینه,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1985,12,6,,,Publishing the first issue of Adina Monthly,,,,,,
1364,10,22,انجام چهارمین عملیات هوایی عراق برای نابودی نیروگاه اتمی بوشهر,"[{'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}, {'text': 'نیروگاه اتمی بوشهر', 'url': 'https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D8%B1%D9%88%DA%AF%D8%A7%D9%87_%D9%87%D8%B3%D8%AA%D9%87%E2%80%8C%D8%A7%DB%8C_%D8%A8%D9%88%D8%B4%D9%87%D8%B1'}]",1986,1,12,https://fa.wikipedia.org/wiki/%D9%86%DB%8C%D8%B1%D9%88%DA%AF%D8%A7%D9%87_%D9%87%D8%B3%D8%AA%D9%87%E2%80%8C%D8%A7%DB%8C_%D8%A8%D9%88%D8%B4%D9%87%D8%B1,https://en.wikipedia.org/wiki/Bushehr_Nuclear_Power_Plant,Bushehr Nuclear Power Plant,,,,,,
1364,11,20,آغاز عملیات والفجر ۸,"[{'text': 'عملیات والفجر ۸', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%88%D8%A7%D9%84%D9%81%D8%AC%D8%B1_%DB%B8'}]",1986,2,9,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D9%88%D8%A7%D9%84%D9%81%D8%AC%D8%B1_%DB%B8,https://en.wikipedia.org/wiki/Operation_Dawn_8,First Battle of al-Faw,,,,,,
1364,12,1,حادثه ۱ اسفند فروند فوکر اف۲۷ فرندشیپ.,"[{'text': 'اسفند', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D9%81%D9%86%D8%AF'}]",1986,2,20,,,The incident of March 6th Fokker F -Freundship.,,,,,,
1364,3,17,عملیات ظفر ۱,"[{'text': 'عملیات ظفر ۱', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1'}]",1985,6,7,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%B8%D9%81%D8%B1_%DB%B1,<No English page found>,Operation Zafar 1,,,,,,
1365,3,22,ازدواج یاسمین پهلوی با رضا پهلوی,"[{'text': 'یاسمین پهلوی', 'url': 'https://fa.wikipedia.org/wiki/%DB%8C%D8%A7%D8%B3%D9%85%DB%8C%D9%86_%D9%BE%D9%87%D9%84%D9%88%DB%8C'}]",1986,6,12,https://fa.wikipedia.org/wiki/%DB%8C%D8%A7%D8%B3%D9%85%DB%8C%D9%86_%D9%BE%D9%87%D9%84%D9%88%DB%8C,https://en.wikipedia.org/wiki/Yasmine_Pahlavi,Yasmine Pahlavi,,,,,,
1365,4,8,قهرمانی آرژانتین در جام جهانی ۱۹۸۶,[],1986,6,29,,,Argentina Championship in the World Cup,,,,,,1.0
1365,4,9,آغاز عملیات کربلای ۱,"[{'text': 'عملیات کربلای ۱', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7%DB%8C_%DB%B1'}]",1986,6,30,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7%DB%8C_%DB%B1,https://en.wikipedia.org/wiki/Battle_of_Mehran_(1986),Battle of Mehran (1986),,,,,,
1365,4,10,بازپس‌گیری شهر مهران توسط نیروهای ایرانی در جنگ ایران و عراق,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'جنگ ایران و عراق', 'url': 'https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82'}, {'text': 'مهران', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D9%87%D8%B1%D8%A7%D9%86'}]",1986,7,1,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82,https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War,<No English name found>,1.0,,,,,
1365,6,11,آغاز عملیات کربلای ۲,"[{'text': 'عملیات کربلای ۲', 'url': 'https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7%DB%8C_%DB%B2'}]",1986,9,2,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7%DB%8C_%DB%B2,https://en.wikipedia.org/wiki/Operation_Karbala-2,Operation Karbala-2,,,,,,
1365,7,9,رقابت ۹ مهر تیم ملی فوتبال ایران با تیم ملی فوتبال کره جنوبی در بازی‌های آسیایی ۱۹۸۶,[],1986,10,1,,,Iran's national football team competition with South Korea national football team in the Asian Games,,,,,,1.0
1365,7,23,حادثه ۲۳ مهر فروند بوئینگ ۷۳۷,"[{'text': '۳ مهر', 'url': 'https://fa.wikipedia.org/wiki/%DB%B3_%D9%85%D9%87%D8%B1'}]",1986,10,15,https://fa.wikipedia.org/wiki/%DB%B3_%D9%85%D9%87%D8%B1,<No English page found>,October 1st Boeing 2 incident,,,,,,
1365,8,11,حادثه ۱۱ آبان فروند هواپیمای سی ۱۳۰ نهاجا,"[{'text': 'آبان', 'url': 'https://fa.wikipedia.org/wiki/%D8%A2%D8%A8%D8%A7%D9%86'}, {'text': '۱ آبان', 'url': 'https://fa.wikipedia.org/wiki/%DB%B1_%D8%A2%D8%A8%D8%A7%D9%86'}]",1986,11,2,https://fa.wikipedia.org/wiki/%DB%B1_%D8%A2%D8%A8%D8%A7%D9%86,<No English page found>,November 5th incident,,,,,,
1365,8,12,رسوایی ماجرای مک‌فارلین در ایران توسط مجله لبنانی الشراع,"[{'text': 'ماجرای مک\u200cفارلین', 'url': 'https://fa.wikipedia.org/wiki/%D9%85%D8%A7%D8%AC%D8%B1%D8%A7%DB%8C_%D9%85%DA%A9%E2%80%8C%D9%81%D8%A7%D8%B1%D9%84%DB%8C%D9%86'}]",1986,11,3,https://fa.wikipedia.org/wiki/%D9%85%D8%A7%D8%AC%D8%B1%D8%A7%DB%8C_%D9%85%DA%A9%E2%80%8C%D9%81%D8%A7%D8%B1%D9%84%DB%8C%D9%86,https://en.wikipedia.org/wiki/Iran%E2%80%93Contra_affair,<No English name found>,,,,,,
1365,8,22,کنگره ایالات متحده آمریکا دولت رونالد ریگان را متهم به نقض تحریم تسلیحاتی ایران کرد.,"[{'text': 'ایران', 'url': 'https://fa.wikipedia.org/wiki/%D8%A7%DB%8C%D8%B1%D8%A7%D9%86'}, {'text': 'رونالد ریگان', 'url': 'https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D9%86%D8%A7%D9%84%D8%AF_%D8%B1%DB%8C%DA%AF%D8%A7%D9%86'}, {'text': 'کنگره ایالات متحده آمریکا', 'url': 'https://fa.wikipedia.org/wiki/%DA%A9%D9%86%DA%AF%D8%B1%D9%87_%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7'}]",1986,11,13,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D9%86%D8%A7%D9%84%D8%AF_%D8%B1%DB%8C%DA%AF%D8%A7%D9%86,https://en.wikipedia.org/wiki/Ronald_Reagan,Ronald Reagan,1.0,,,,,
1365,9,4,بمباران اندیمشک,"[{'text': 'بمباران اندیمشک', 'url': 'https://fa.wikipedia.org/wiki/%D8%A8%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D9%86_%D8%A7%D9%86%D8%AF%DB%8C%D9%85%D8%B4%DA%A9'}, {'text': 'دی', 'url': 'https://fa.wikipedia.org/wiki/%D8%AF%DB%8C'}]",1986,11,25,https://fa.wikipedia.org/wiki/%D8%A8%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D9%86_%D8%A7%D9%86%D8%AF%DB%8C%D9%85%D8%B4%DA%A9,<No English page found>,Andimeshk bombing,,,,,,
1365,9,11,سیل دشتی,[],1986,12,2,,,Plain Flood,,,1.0,,,
